post_id,post_text,category,react_likes,react_love,react_haha,react_sad,react_wow,react_angry,number of comments,positive sent,negative sent,neutral sent,anger,fear,sad,happy,neutral,avg words in comments,median words in comments
25604775729_10156809586030730,Die Flammen fraßen sich durch das hölzerne Treppenhaus bis unters Dach  wo Familie M. schlief. Noch im Tod umklammerte der Vater seine kleine Tochter. Ihre verbrannten Körper waren miteinander verschmolzen.,Straftat,180,3,0,343,11,1084,228,24.12280701754386,47.36842105263158,28.50877192982456,34.64912280701754,12.719298245614034,18.42105263157895,5.2631578947368425,28.94736842105263,15.473684210526315,11.0
25604775729_10156809677560730,„Am Anfang war‘s nur ein Spaß  ihm ein Outfit passend zu meinem zu machen. Aber dann erstand eins nach dem anderen  eine komplette Garderobe.“ Und die sieht – nunja – witzig aus. regional leipzig hund leipzigs schraegster designer macht jetzt hund couture,Alltag&Skurriles,18,2,8,0,0,1,20,25.0,55.0,20.0,35.0,0.0,10.0,35.0,20.0,14.05,7.0
25604775729_10156809691265730,Gnadenlos schlagen die Flammen aus einem schmucken Einfamilienhaus bei Fulda. Feuerwehrmänner kämpfen gegen das wütende Feuer. Diese Bilder machen sprachlos! regional frankfurt feuerwehr mann rettet familie vor flammen,Alltag&Skurriles,35,2,0,14,7,1,6,33.333333333333336,50.0,16.666666666666668,50.0,0.0,0.0,16.666666666666668,33.333333333333336,18.5,6.5
25604775729_10156809861110730,Wie haltet ihr das: Geht ihr krank zur Arbeit?,Gesellschaft/Ethik/Politik,246,1,5,39,4,39,528,21.401515151515152,49.43181818181818,29.166666666666668,17.045454545454547,9.090909090909092,12.121212121212121,22.15909090909091,39.583333333333336,21.744318181818183,13.0
25604775729_10156809886565730,US-Sternchen Blac Chyna badet ihren wohlgeformten Hintern in der prallen Sonne – und macht dabei Kim Kardashian Wests Po ordentlich Konkurrenz!,Alltag&Skurriles,101,2,31,2,3,2,68,22.058823529411764,32.35294117647059,45.588235294117645,27.941176470588236,4.411764705882353,5.882352941176471,20.58823529411765,41.1764705882353,9.926470588235293,6.0
25604775729_10156809939575730,Was denkt ihr: Sollten Raucher ihre Pausen nachsitzen?,Alltag&Skurriles,1349,20,60,2,13,114,803,30.136986301369863,38.72976338729763,31.133250311332503,18.679950186799502,3.4869240348692405,4.109589041095891,27.895392278953924,45.82814445828144,19.65753424657534,12.0
25604775729_10156809991130730,Eigentlich doch Privatsache  könnte man meinen. Allerdings handelte es sich nicht um ein normales Krankenhaus …,Alltag&Skurriles,128,3,43,6,21,13,64,21.875,32.8125,45.3125,20.3125,7.8125,7.8125,34.375,29.6875,11.5,8.0
25604775729_10156810008800730,Bloggerin Hanna Lynne liefert auch gleich noch ein paar andere Augenbrauen-Tipps mit …,Gesellschaft/Ethik/Politik,50,0,309,5,5,4,431,20.88167053364269,27.842227378190255,51.27610208816705,11.600928074245939,3.2482598607888633,2.5522041763341066,44.08352668213457,38.51508120649652,7.972157772621809,6.0
25604775729_10156810089445730,Essensreste  leere Kaffeebecher mit Zigarettenstummeln  verstreute Kleidungsstücke  Tabakpäckchen und Taschentücher – das ist keine Mülltonne  sondern ein Lieferauto!,Gesellschaft/Ethik/Politik,179,4,109,19,50,271,436,17.889908256880734,23.165137614678898,58.944954128440365,6.192660550458716,3.669724770642202,2.0642201834862384,37.15596330275229,50.91743119266055,7.5389908256880735,6.0
25604775729_10156810115225730,Hier verrät die schöne Auszubildende ihre kleine Jugendsünde und verrät: „So war mein Bravo-Shooting!“ (via BILDplus),Alltag&Skurriles,165,2,11,1,5,0,58,25.862068965517242,32.758620689655174,41.37931034482759,12.068965517241379,3.4482758620689653,3.4482758620689653,51.724137931034484,29.310344827586206,12.551724137931034,10.0
25604775729_10156810121995730,Sie­ben Punk­te Rück­stand  der Ab­stieg ist so gut wie be­sie­gelt.,Alltag&Skurriles,39,5,25,2,1,0,75,26.666666666666668,42.666666666666664,30.666666666666668,9.333333333333334,5.333333333333333,6.666666666666667,28.0,50.666666666666664,14.44,11.0
25604775729_10156810133425730,Frühlings-Hammer am Wochenende! Deutschlandweit klettern Temperaturen über 14 Grad. An manchen Orten werden sogar über 20 Grad!,Alltag&Skurriles,117,9,0,1,11,1,17,41.1764705882353,35.294117647058826,23.529411764705884,17.647058823529413,5.882352941176471,5.882352941176471,52.94117647058823,17.647058823529413,8.882352941176471,8.0
25604775729_10156810330785730,Die Hände stammen von mindestens 27 Personen!,Gesellschaft/Ethik/Politik,209,3,15,9,61,3,66,33.333333333333336,25.757575757575758,40.90909090909091,10.606060606060606,10.606060606060606,10.606060606060606,21.21212121212121,46.96969696969697,13.454545454545455,8.0
25604775729_10156810352110730,Benny will schlank werden und bei Let s Dance mitmachen. Von seinem Startgewicht von 165 Kilo ist er schon runter – und auf einem richtig guten Weg!,Alltag&Skurriles,53,1,3,0,5,0,20,25.0,25.0,50.0,5.0,0.0,5.0,45.0,45.0,11.25,7.0
25604775729_10156810364365730,Hussein K. (Alter unbekannt) hatte die 19-jährige Studentin Maria bis zur Bewusstlosigkeit gewürgt und vergewaltigt. Sie ertrank im Wasser des Flusses Dreisam. Nun fordert die Staatsanwaltschaft: lebenslänglich!,Straftat,1275,29,1,19,7,354,595,27.899159663865547,40.50420168067227,31.596638655462186,25.54621848739496,12.77310924369748,8.403361344537815,9.579831932773109,43.69747899159664,13.521008403361344,9.0
25604775729_10156810438325730,Große Brüste sind ein Problem? Nicht immer...,Alltag&Skurriles,81,0,13,0,0,1,49,36.734693877551024,10.204081632653061,53.06122448979592,8.16326530612245,0.0,10.204081632653061,38.775510204081634,42.857142857142854,9.551020408163266,5.0
